t_s,x_m,x_dot_mps,z_m,z_dot_mps,roll_rad,pitch_rad
1.091364205256570852e+00,2.355055351740542591e-01,2.345810877916658654e-01,3.664742864781781601e-02,5.659230533621029124e-01,4.344599629618788317e-01,7.377912360159649529e-18
1.101376720901126482e+00,2.379659518361417481e-01,2.566170765318219193e-01,4.339834047169732062e-02,7.770063896155577909e-01,3.979855654260373576e-01,7.354535828551801004e-18
1.111389236545682113e+00,2.406379180860907796e-01,2.767489455019435107e-01,5.210115170536062934e-02,9.535420395387252945e-01,3.545289846002603884e-01,7.334334008348109656e-18
1.121401752190237744e+00,2.434997571316861731e-01,2.944659485744590688e-01,6.225809283555278073e-02,1.064212616221928531e+00,3.048345850125801504e-01,7.316878097840445824e-18
1.131414267834793597e+00,2.465251555043038167e-01,3.093478333206237663e-01,7.315434609708174052e-02,1.099142205929100502e+00,2.502457094815668248e-01,7.301793691948254742e-18
1.141426783479349227e+00,2.496838445835021514e-01,3.210507075431491830e-01,8.407101646273196227e-02,1.072584206568552467e+00,1.921105522823839951e-01,7.288757770473386706e-18
1.151439299123904858e+00,2.529426342465461164e-01,3.292911412099344126e-01,9.446297689082373827e-02,9.951469536323653831e-01,1.313048999464353217e-01,7.277493524658735796e-18
1.161451814768460711e+00,2.562656191110075921e-01,3.338453921201190999e-01,1.038648247064042768e-01,8.770125850971102199e-01,6.865090969573152402e-02,7.267759173493634172e-18
1.171464330413016341e+00,2.596149886905797510e-01,3.345401487436523436e-01,1.119169844194327496e-01,7.269202310549961465e-01,4.781402677561982784e-03,7.259347332309925582e-18
1.181476846057571972e+00,2.629515001064896551e-01,3.312471962887127974e-01,1.183417446621088248e-01,5.523878778954789404e-01,-5.973798916411729443e-02,7.252078558472916192e-18
1.191489361702127603e+00,2.662346432813808561e-01,3.238818964920625598e-01,1.229199820093179740e-01,3.600172819148481640e-01,-1.243206210284393820e-01,7.245796917495625135e-18
1.201501877346683456e+00,2.694234631218550002e-01,3.123954708801748859e-01,1.255086802536172774e-01,1.551899937733818846e-01,-1.884558214166013324e-01,7.240368927079882815e-18
1.211514392991239086e+00,2.724767086597942312e-01,2.968038742191435597e-01,1.260046132915729755e-01,-5.710868284601763878e-02,-2.515740663598828308e-01,7.235678261704584410e-18
1.221526908635794717e+00,2.753536261628193871e-01,2.772320140874725558e-01,1.243555961625887746e-01,-2.719262496367307880e-01,-3.131092499720002920e-01,7.231624781071265796e-18
1.231539424280350570e+00,2.780162707978822700e-01,2.540865401532836909e-01,1.205725247332866124e-01,-4.827466985629585983e-01,-3.725388675375230774e-01,7.228122178779044023e-18
1.241551939924906200e+00,2.804326982035440508e-01,2.282573211858968942e-01,1.147347813283851603e-01,-6.797199004863857530e-01,-4.293792368688407191e-01,7.225095179217922035e-18
1.251564455569461831e+00,2.825834289073884120e-01,2.013356125142124475e-01,1.070503505379725440e-01,-8.494622244427314506e-01,-4.834126743015115246e-01,7.222479522043751838e-18
1.261576971214017462e+00,2.844673040064889524e-01,1.752653265090415580e-01,9.786397236243539466e-02,-9.780227049416923002e-01,-5.344931604160443328e-01,7.220219392741380733e-18
1.271589486858573315e+00,2.861026036417362306e-01,1.519924507333192953e-01,8.764305608409550530e-02,-1.056608439493923912e+00,-5.822390342880787717e-01,7.317580373515666165e-18
1.281602002503128945e+00,2.875256917579070981e-01,1.331356985107086111e-01,7.683432791044841892e-02,-1.092837926542486571e+00,-6.253514398187445256e-01,7.812585274848436939e-18
1.291614518147684576e+00,2.887887106900909329e-01,1.203024821721309645e-01,6.598163770238305026e-02,-1.066620304081276727e+00,-6.619426600961666463e-01,8.528024641409648925e-18
1.301627033792240429e+00,2.899606635142180644e-01,1.152128976037292835e-01,5.564280646632571020e-02,-9.894550679661705539e-01,-6.906278600431318138e-01,9.283705303906203182e-18
